,AS_Number
2564,17488
2565,17488
2566,17488
2567,17488
2568,17488
2569,17488
2570,17488
2571,17488
2572,17488
2573,17488
2574,17488
2575,17488
2576,17488
2577,17488
2578,17488
2579,17488
2580,17488
2581,17488
2582,17488
2583,17488
2584,17488
2585,17488
2586,17488
2587,17488
2588,17488
2589,17488
2590,17488
2591,17488
2592,17488
2593,17488
2594,17488
2595,17488
2596,17488
2597,17488
2598,17488
2599,17488
2600,17488
2601,17488
2602,17488
2603,17488
2604,17488
2605,17488
2606,17488
2607,17465
2608,4837
2609,4837
2610,9808
2611,4837
2612,17488
2613,17488
2614,17488
2615,4837
2616,
2617,4837
2618,58965
2619,
2620,
2621,
2622,
2623,
